return_id,product_id,inspector_notes,return_reason,classification,date
ab98907d-f086-4b17-9869-cc72794e7854,79,Potential refurbish situation. Heavy wear (customer unclear).,Heavy wear (customer unclear),refurbish,
0ec2cbc0-1586-4e81-9733-35106b7e02fb,96,Assessment: Duplicate order.,Duplicate order,recycle,
ca762fde-3b42-4b4a-9b0e-73228e95f500,33,Customer reported: Fit not as expected.,Fit not as expected,restock,
e2192e68-7d53-43a2-94a5-8fbcb0d429c6,93,Reported: Small puncture.,Small puncture,restock,
005ee083-b68d-4c95-8798-66c6b6de7ab9,36,Potential restock situation. small fabric pull.,small fabric pull,restock,
39ebc9f0-33f1-4e22-81a7-539219ecf771,49,Visual inspection: Changed mind.,Changed mind,restock,
a55fdb56-827d-4f81-8b15-5ce8ccfc455c,72,Visual inspection: Light usage wear.,Light usage wear,refurbish,
c6b5d5c0-948d-4e46-be37-2cba7ec1f6a8,14,Uncertain: Major malfunction.,Major malfunction,recycle,
967f8d73-f3b9-4e86-9f92-9ca9af9c6dbf,62,See attached: Major structural damage (customer unclear).,Major structural damage (customer unclear),recycle,
a92bd634-1813-46e3-bed9-6ceeb357ec4d,27,Initial check: Heavy wear.,Heavy wear,refurbish,
ddf5eafc-4cda-4725-abf6-cedbc3558390,93,Potential restock situation. Style doesn't match.,Style doesn't match,restock,
61d8c0da-e197-4e16-9abe-12b6d2904758,95,Unclear if recycle or other. manufacturing defect.,manufacturing defect,recycle,
213abd6f-bc80-4863-aa3a-2d4b32dd3e38,64,Customer reported: Cosmetic imperfection.,Cosmetic imperfection,refurbish,
e4ee40ab-3528-4703-b71e-5c6a764ccbc6,92,Possible recycle case. Electrical short circuit.,Electrical short circuit,recycle,
397ef34b-af54-4c94-b963-76a4d182a61c,7,May require restock. Different style preferred.,Different style preferred,restock,
e4be77cd-c944-4c8f-9dcd-2e22123f66a1,72,Possible overlap with other categories. Occasion cancelled.,Occasion cancelled,restock,
4a8baccb-e4c6-4a8d-a902-3f6f70fc57d4,50,Possible recycle case. Overheating damage.,Overheating damage,recycle,
85e44bf3-490e-4f65-a0c0-66af8c63c845,20,Possible overlap with other categories. Ordered wrong quantity.,Ordered wrong quantity,restock,
2119fefe-73a7-4897-8aca-bc94d4f29b2b,64,Customer reported: Chemical damage.,Chemical damage,recycle,
f614b9e2-6af7-4b15-9f1f-3799f2526534,59,May require recycle. Noticeable dent.,Noticeable dent,recycle,
b232b509-b731-4927-bcc3-e95a8faf10d1,79,Customer notes: Size chart was incorrect.,Size chart was incorrect,refurbish,
e448b2e9-3a3d-448a-91f4-bc282b631fe9,67,Possible overlap with other categories. Product arrived late.,Product arrived late,recycle,
a4e1221f-cdaa-4bc5-b22e-5f8e454ab0ee,100,Potential refurbish situation. Noticeable dent.,Noticeable dent,refurbish,
712c145c-17e7-43ff-9849-bcdfe1fff60b,95,Customer notes: Extreme weather damage.,Extreme weather damage,recycle,
ad37a695-035c-4a64-9a04-b06eb81c27e6,15,Potential refurbish situation. Minor button issue.,Minor button issue,refurbish,
e7d89c77-a2eb-42b8-8739-339dbab7a957,95,Potential restock situation. better price found.,better price found,restock,
da50f016-4dae-4b86-aeb0-4afc5093df82,97,May require recycle. Major malfunction.,Major malfunction,recycle,
8cc1c3d7-61b1-4040-a1aa-f9a6dd9a7ec8,50,Possible overlap with other categories. Size chart was incorrect.,Size chart was incorrect,restock,
c5eb2400-606b-45fe-b53b-3fd9e19c75ff,40,May require restock. Occasion cancelled.,Occasion cancelled,restock,
dcc0b47c-97f8-4e54-b86a-c46a776f0006,44,Inspected: Major malfunction. Needs further review.,Major malfunction,recycle,
addb1c45-c8a9-48f0-87f5-7429970ab835,35,Possible recycle case. Manufacturing defect.,Manufacturing defect,recycle,
3e84ebf2-8b5e-4f55-8d4b-4904d2a7308f,48,Inspected: Size chart was incorrect. Needs further review.,Size chart was incorrect,restock,
0d28c020-338f-4523-8e2b-50214dce8c4d,32,Inspected: Multiple components failed. Needs further review.,Multiple components failed,recycle,
bfe4989f-5162-4bb3-9abe-d49c01a611e7,95,Initial check: Received as gift.,Received as gift,restock,
74bcb905-d67b-4d86-a017-acb14118609c,40,Assessment: Duplicate order.,Duplicate order,restock,
3a2c0b5b-5958-48eb-aa50-e1c83221a97e,30,Observed: Occasion cancelled.,Occasion cancelled,restock,
892fc155-4699-46df-8393-68531ffbbc36,16,Possible issue: Color not as shown.,Color not as shown,restock,
9b807834-572f-463f-b1c5-1208c50a725b,30,Inspected: style doesn't match. Needs further review.,style doesn't match,restock,
60d0491b-ff5e-422a-abc2-361c4d4cbf1e,76,Returned due to: Unwanted purchase.,Unwanted purchase,restock,
afd36cbf-81e6-402a-855a-b5b30eecc1c1,74,Further testing needed: Obvious repair needed.,Obvious repair needed,recycle,
abfdcc96-079f-443e-b029-a6dbd34fdbba,29,May require recycle. Minor button issue.,Minor button issue,recycle,
4a035200-ca38-4798-ad89-0f1594f8cb67,97,Possible overlap with other categories. Style doesn't match.,Style doesn't match,restock,
dbfdef70-37f5-48f3-a268-243d71af918f,46,Potential restock situation. No longer needed.,No longer needed,restock,
3df5f61e-be1a-417b-a81f-f2ce0bc557d9,27,May require refurbish. heavy wear.,heavy wear,refurbish,
360ef6b8-1f39-4bfb-ba50-951c36650215,36,Potential refurbish situation. Slight discoloration.,Slight discoloration,refurbish,
82375d7c-760f-402b-918a-9969011dcc83,42,Potential restock situation. Duplicate order.,Duplicate order,restock,
83d38424-5c70-4e85-a2a5-fe5a9ab2bc23,99,Customer notes: Fit not as expected.,Fit not as expected,restock,
121adf69-1e45-4298-80af-a642934f54a7,69,Potential recycle situation. Fabric completely deteriorated (customer unclear).,Fabric completely deteriorated (customer unclear),recycle,
95925d5d-bc07-4029-87e1-37c232f52fcd,30,Possible issue: Received as gift.,Received as gift,restock,
cf677d10-17fe-4583-beb6-5eee64658ce6,43,See attached: Slight color fading.,Slight color fading,refurbish,
8e2e4190-594d-4dd3-b7f9-f119bb1b7333,100,Further testing needed: minor zipper issue.,minor zipper issue,refurbish,
f46918d5-8a80-47eb-b2ee-803b1d3d3d0e,76,Visual inspection: Size chart was incorrect.,Size chart was incorrect,restock,
57b4b055-e73e-46bc-911e-c4a27a6a59fd,13,Possible overlap with other categories. Major scratch.,Major scratch,recycle,
7997d32e-c3fd-4f55-973d-d4b3ea73211a,19,Notes: Manufacturing defect.,Manufacturing defect,recycle,
b4105096-a0dc-461f-a42a-670da39a1e13,79,Assessment: Minor alignment issue.,Minor alignment issue,refurbish,
497aabae-8c38-4c3c-92f5-8b66fee48594,17,Initial check: Heavy wear.,Heavy wear,refurbish,
d4531e37-db55-454d-ae3d-2161fac761b3,24,Assessment: Major scratch.,Major scratch,refurbish,
a85659ae-b509-405b-91fc-eab8d0d08378,3,Flagged: Noticeable dent.,Noticeable dent,recycle,
3640e436-d26c-4168-b4c0-cf501b062630,28,Visual inspection: Torn beyond repair (customer unclear).,Torn beyond repair (customer unclear),restock,
442f213c-06fb-494b-ba5a-dce0c66fc486,1,Customer reported: Minor warping.,Minor warping,refurbish,
23dcb36d-db3a-49d9-98a6-7b07989ed361,18,See attached: Loose thread.,Loose thread,refurbish,
9fe49fb4-511a-4da1-a1ef-7d0c815ab394,3,See attached: Box opened but item unused.,Box opened but item unused,refurbish,
0a9351db-b171-47b8-8813-20aa6c8f87c7,44,Possible issue: noticeable dent.,noticeable dent,recycle,
9f34129a-b554-436f-90ef-af0330598825,88,Customer reported: Minor zipper issue.,Minor zipper issue,refurbish,
d667bca9-6976-43f1-8c96-ddb6375869fa,47,Assessment: Fire damage.,Fire damage,recycle,
03789ddb-a767-41d5-96b6-c6e12b84c0e0,27,Assessment: Did not like the product.,Did not like the product,restock,
56c598d8-77a2-4674-92bb-a7570c064c35,70,Returned due to: Duplicate order.,Duplicate order,restock,
a8c0d6a7-a735-475a-8199-24cb478d402c,77,Reported: Major scratch.,Major scratch,refurbish,
8f7fbd3c-819e-4958-bff3-e028e1764c34,71,Uncertain: Beyond repair.,Beyond repair,recycle,
4a0c9a04-b515-4332-918b-b927bbecabe2,44,See attached: Obvious usage marks.,Obvious usage marks,restock,
6e443685-b785-4517-8255-fe62c8861702,89,Visual inspection: Slight wear on edges.,Slight wear on edges,refurbish,
7b0440f4-7bcc-4e85-9f39-d0e9fbc9d3f8,19,Returned due to: Slight stretching.,Slight stretching,recycle,
e3b3c662-420d-4487-9f8b-33cd90e9e1b2,80,Possible issue: Significant fading.,Significant fading,refurbish,
7340cceb-0fd6-4e23-9add-bd209475b428,68,Flagged: Small puncture.,Small puncture,refurbish,
1d68806b-7c90-4d57-971b-f6a984316619,21,Possible refurbish case. Significant fading.,Significant fading,refurbish,
ca1d4d7d-d4b2-4f37-8da1-661e8ca3eadf,48,Assessment: light usage wear.,light usage wear,refurbish,
6c460798-f289-4285-ab35-2f4dae804160,41,Inspected: Product arrived late. Needs further review.,Product arrived late,refurbish,
47d5a212-2b15-4eb7-94ac-2448fa97de32,29,Notes: Received as gift.,Received as gift,restock,
d5b9cbf8-1169-4118-a0bb-276540201f9d,82,Visual inspection: Extreme weather damage.,Extreme weather damage,recycle,
cef7ebc8-ac49-4e1d-a9b4-e1d6dbf51639,46,Reported: Cracked screen.,Cracked screen,restock,
b1b67762-51d1-405d-805d-b4247cef7ff9,46,May require restock. Fit not as expected.,Fit not as expected,restock,
9a229084-cd64-4ab8-a7c0-f247951151c3,45,May require restock. Color not as shown.,Color not as shown,restock,
7e40ae3f-4461-47fe-bd85-774b3a8ea05a,70,Assessment: Packaging slightly damaged.,Packaging slightly damaged,refurbish,
199c803c-5dfe-4b57-97ad-544cfcdff0e1,63,Returned due to: Electrical short circuit.,Electrical short circuit,recycle,
8204a6f1-09cc-47a1-b287-b0053e8127f2,34,Returned due to: small chip.,small chip,refurbish,
5e13d573-8520-4eeb-a892-82e7423af57e,12,Unclear if refurbish or other. Minor dent.,Minor dent,refurbish,
bc318cf0-b200-4bd1-af20-594716ddcf42,57,Possible recycle case. Obvious repair needed.,Obvious repair needed,recycle,
39513dfa-d7f7-462b-9373-4f5b9ffc576e,59,May require restock. Family member disapproval.,Family member disapproval,restock,
b06c731a-3755-419c-be65-e23dca47e266,75,Unclear if restock or other. Wrong size ordered.,Wrong size ordered,restock,
ee197914-7217-4376-bce6-81e0f8c9f4b5,27,See attached: Obvious usage marks.,Obvious usage marks,refurbish,
9d5e0390-706e-4da8-b8c7-5b07350f0be0,98,Reported: Minor button issue.,Minor button issue,refurbish,
925c083d-d69d-4792-94c4-687bc42a2815,21,Visual inspection: Color not as shown.,Color not as shown,refurbish,
8ea211f1-16cc-49e9-b57a-a5163964d108,76,Further testing needed: Small hole.,Small hole,refurbish,
7caae2ec-6bc9-4169-a10e-1808da7239ff,37,Unclear if refurbish or other. Heavy wear.,Heavy wear,refurbish,
de9e1cd4-5b03-4b41-8f74-6510e7419b2a,36,Unclear if restock or other. Style doesn't match.,Style doesn't match,restock,
e3d17bb8-d178-4174-8ce3-fd05525a5842,100,Possible overlap with other categories. noticeable dent.,noticeable dent,recycle,
0320e1aa-8137-41b1-8186-1636cde6de1a,41,Potential restock situation. Gift return.,Gift return,restock,
bb6d9fb8-7b68-4d39-9a59-a078d70d45b5,20,Flagged: Hazardous material exposure.,Hazardous material exposure,recycle,
b6c38e04-5ec3-439b-bf12-dab9f8c1add3,10,Returned due to: Ordered wrong quantity.,Ordered wrong quantity,restock,
5970b747-4e01-4e8a-a1b0-56402939def9,61,Uncertain: Ordered wrong quantity.,Ordered wrong quantity,restock,
917b739c-f784-44db-bcb3-0b23b9bd1273,25,Visual inspection: Slight discoloration.,Slight discoloration,refurbish,
707a804d-2b9e-4af1-8f78-6e85516445a4,12,Customer reported: Motor failure.,Motor failure,recycle,
650beb9e-c2b6-49bb-911a-90e83fe2cb49,69,Returned due to: Multiple components failed.,Multiple components failed,refurbish,
1efc0ab1-1269-403a-82d1-303b371ff5b5,30,Assessment: Slight wear on edges.,Slight wear on edges,refurbish,
d0d74e34-3536-4983-bb12-a9c9501338e6,56,Initial check: Unwanted purchase.,Unwanted purchase,restock,
14f4b5d4-650e-4004-8ad5-51ed94cfee6a,75,Uncertain: Cosmetic imperfection.,Cosmetic imperfection,refurbish,
261be119-1d7d-44c6-bc0a-5acb170617d7,92,Observed: obvious repair needed.,obvious repair needed,recycle,
63153e74-2bf3-4abe-bb0c-00af690cb7f6,74,Possible issue: Minor scuff mark.,Minor scuff mark,restock,
aca7f2b5-00aa-4f70-bcb7-5119d502427f,53,Unclear if recycle or other. Fire damage.,Fire damage,recycle,
f29fdc45-c3c3-4e5d-b5fb-07f507faad46,62,Possible issue: Duplicate order.,Duplicate order,restock,
b13c86cf-4d3d-4750-a3c4-c131859998c1,100,Flagged: Major malfunction.,Major malfunction,recycle,
80d51287-af26-4501-97e5-b135e3c1d0d4,65,Further testing needed: permanent staining.,permanent staining,recycle,
3e1bde92-7615-4c6a-9eb8-6bae9c1ec194,50,Uncertain: Small scratch.,Small scratch,refurbish,
b3cb67d7-45e8-48f9-a4aa-0fd9f25919b6,84,Returned due to: Gift return.,Gift return,restock,
4a694a6c-cbbd-41a8-a438-5eabd2f3e3d6,81,Uncertain: Minor zipper issue.,Minor zipper issue,refurbish,
7fe2e903-7767-45f6-807a-01035d2b51be,68,Customer notes: Color not as shown.,Color not as shown,restock,
f6b0a4cf-79ce-4ad6-964e-bfc94f329f55,22,Returned due to: Wrong size ordered.,Wrong size ordered,restock,
b4f88f23-34f3-43f6-bdbe-6e10a4675f72,47,Visual inspection: Size chart was incorrect.,Size chart was incorrect,restock,
620341e9-4634-405b-81d6-25d2c2133cf1,5,Possible recycle case. size chart was incorrect.,size chart was incorrect,recycle,
2fc296b5-8425-4236-b114-f950fb3a9a53,42,Notes: Box opened but item unused.,Box opened but item unused,refurbish,
66f6625d-57c3-4fd2-afa7-da7ff9f1143e,94,Uncertain: Irreparable damage.,Irreparable damage,recycle,
9f68d9b1-68af-4adb-8ccd-e08816022c7e,91,Observed: Material feel different.,Material feel different,restock,
5474b897-a520-4218-9624-2a03dac6c6bc,85,Returned due to: Minor functionality issue.,Minor functionality issue,refurbish,
710ec450-739d-44f8-93c8-739f0e931cc8,34,See attached: unwanted purchase.,unwanted purchase,restock,
e5de6e54-b3d9-4827-bb6c-2b17147fe735,79,Possible overlap with other categories. Noticeable dent.,Noticeable dent,refurbish,
850fe155-e9af-4c5a-b7d5-4dc0ef7d62ec,21,Flagged: Budget constraints.,Budget constraints,restock,
3123e631-6191-43be-9dcd-b8b73af1c3b0,54,Observed: changed mind.,changed mind,restock,
c6fb6482-3f3b-4199-9f4f-95007484fc00,92,Customer reported: Occasion cancelled.,Occasion cancelled,restock,
46b46302-1591-48b6-8510-bf6a7fb00a8e,40,Reported: Minor alignment issue.,Minor alignment issue,refurbish,
1be87095-6fbc-40d2-bf97-d969bc5a7718,19,Reported: Different style preferred (customer unclear).,Different style preferred (customer unclear),restock,
4aecada4-2c7c-4735-9922-94ee26e229e9,95,Possible refurbish case. Obvious repair needed.,Obvious repair needed,refurbish,
ecdb5a35-bb6f-4d52-b5ed-341ec5108b2c,63,Assessment: slight wear on edges.,slight wear on edges,refurbish,
44ecf3f4-084a-44ba-b567-320ef5f309f2,27,Returned due to: Hazardous material exposure.,Hazardous material exposure,recycle,
7733b573-23c9-480b-b6e8-0a703b783253,18,Assessment: Minor dent.,Minor dent,refurbish,
3a3a5aab-2818-4610-b2ca-f5c8a9f5d1c0,70,Inspected: Small puncture. Needs further review.,Small puncture,restock,
1411e9e9-9a35-421a-9a6c-bf184ca58ac3,45,Returned due to: Budget constraints.,Budget constraints,restock,
797c77d8-0d79-42e1-9290-660de3011fa7,93,Possible overlap with other categories. different style preferred.,different style preferred,restock,
e57a0471-93a2-4933-b0b5-497c41d7981b,1,Reported: Did not like the product.,Did not like the product,restock,
21df2a03-b96c-46df-a07e-f41a0116bcd6,44,Reported: Light usage wear.,Light usage wear,refurbish,
9847272e-7ec3-4314-91fe-a2c5d5b7efd1,96,Reported: Electrical short circuit.,Electrical short circuit,recycle,
cbc01181-6b94-49e6-a933-78791fb9bfa4,98,Returned due to: Ordered wrong quantity.,Ordered wrong quantity,restock,
c7629b44-2272-4652-a9a6-cc219c5e300b,52,Possible issue: Obvious repair needed.,Obvious repair needed,refurbish,
9ac10d8c-28ca-4efd-8a96-97160c5941e0,16,Visual inspection: Received as gift.,Received as gift,restock,
f5a26bfa-d3d9-478b-9ccb-9bc486a1d21d,96,Observed: Safety hazard.,Safety hazard,recycle,
e9920117-14b0-4135-ba33-0044d598c742,10,Assessment: Severe fading.,Severe fading,recycle,
4cc33e34-0d2b-437c-b368-e9326a508506,48,Observed: Obvious repair needed (customer unclear).,Obvious repair needed (customer unclear),recycle,
fc2fcd89-c883-45f7-a06b-a43b569b5e69,19,Assessment: Did not like the product.,Did not like the product,restock,
abf4575b-7cc4-4d7f-8d09-5d180c15a8b4,18,See attached: Did not like the product.,Did not like the product,restock,
96ed0283-907d-43aa-a5bc-ba1a1eb3d3b3,31,Unclear if refurbish or other. Minor dent (customer unclear).,Minor dent (customer unclear),refurbish,
4973e5b5-1bc4-4eee-97db-af2c2ec29211,70,Customer notes: Multiple components failed.,Multiple components failed,refurbish,
308a5b3b-c5e5-4835-b296-199cac484e16,44,Observed: Minor functionality issue (customer unclear).,Minor functionality issue (customer unclear),refurbish,
5c2bccfa-bcc4-4ade-b36a-d1bc6ccc861b,78,Unclear if refurbish or other. Small hole.,Small hole,refurbish,
5cf2aa05-0ef3-43a7-b2c5-551cd971d23c,46,Notes: Product arrived late.,Product arrived late,restock,
dba00657-8fcf-4350-8dfb-e26dd4ac309d,14,Customer reported: Cracked screen.,Cracked screen,recycle,
d4a52ac9-1d8c-4b87-aeb0-45ae24ee88f2,48,Initial check: Budget constraints.,Budget constraints,restock,
9c7238b0-cc6f-4d2a-8247-90b59c4df786,50,May require restock. Fit not as expected.,Fit not as expected,restock,
7df74f75-9865-4361-b778-8a48cec27fcc,68,Customer notes: Budget constraints.,Budget constraints,restock,
46cda677-f4c6-48b4-9658-cbe94d34c431,78,Possible issue: Major scratch.,Major scratch,refurbish,
4bf0f8d9-7776-4cd9-8872-f6d6cb2b690a,92,Reported: Size chart was incorrect.,Size chart was incorrect,restock,
4eed2f5e-fcf6-4e2d-a1d4-de4d22c81e0f,19,Customer reported: Fit not as expected.,Fit not as expected,restock,
2a843202-05ea-41d8-96e5-07901d060c66,28,Possible overlap with other categories. Ordered wrong quantity.,Ordered wrong quantity,restock,
6374c5bf-6adc-47f9-a384-b9f094c40050,8,Further testing needed: Unwanted purchase.,Unwanted purchase,restock,
000aa7c2-2b0d-4ae1-933e-ef7385157c18,90,Customer notes: Small chip.,Small chip,refurbish,
e1184599-99c7-468e-b791-ba5d4d11a6ef,77,May require restock. Wrong size ordered.,Wrong size ordered,restock,
c0a2d1ba-a468-4811-a356-1355bb422008,74,See attached: Overheating damage.,Overheating damage,recycle,
a3585ba6-3c26-40be-b4fe-efb627b8e87f,94,Possible restock case. Product arrived late.,Product arrived late,restock,
fe09b49b-f2d4-4e62-97bb-881743e7d4a9,75,Notes: Small stain.,Small stain,refurbish,
de187c21-575a-423b-b349-edc891978544,24,Unclear if restock or other. Received as gift.,Received as gift,restock,
3755edc8-5712-4d6f-8a44-480261ff7f9e,9,See attached: irreparable damage.,irreparable damage,recycle,
f2eb5f23-081b-4921-93f6-3d2a83566d11,51,Customer notes: small puncture.,small puncture,recycle,
0450ccf2-c888-4286-b05e-13aa9a8063e4,78,Customer notes: Major impact damage.,Major impact damage,recycle,
6ad08126-49e3-45e6-bbe4-dfdacc10fbd9,32,Visual inspection: Ordered wrong quantity.,Ordered wrong quantity,restock,
0d68ce29-1533-40e8-8af2-ef23655f795f,30,Flagged: Manufacturing defect.,Manufacturing defect,recycle,
3627fe1a-a8df-4ad9-b21d-0128465fd77a,86,Notes: Slight color fading.,Slight color fading,refurbish,
b27e118f-4526-42d6-a587-237a73d9006a,39,Observed: minor scuff mark.,minor scuff mark,refurbish,
b26f1ffe-f811-49dc-8670-a796d811fd6a,99,Inspected: Minor warping. Needs further review.,Minor warping,refurbish,
bcade1c6-a31f-46a0-b98d-ab5beb332420,35,May require restock. Budget constraints.,Budget constraints,restock,
8314e0ba-cac1-4e4f-a7ed-436c57c74eed,41,Returned due to: Budget constraints.,Budget constraints,restock,
6510b676-24db-417e-a726-faa4a3ce70ee,29,Potential refurbish situation. Cosmetic imperfection.,Cosmetic imperfection,refurbish,
a299ba4a-5b3d-439d-81ca-6c69dc17fa63,78,May require restock. received as gift.,received as gift,restock,
75c36ca1-3c69-462e-a7d1-c2d98d5a2598,50,Initial check: Torn beyond repair.,Torn beyond repair,recycle,
d085b908-d0b4-4209-8731-92703e76532f,85,May require refurbish. Small stain.,Small stain,refurbish,
ce6eeb23-ca1f-484f-bd29-07240e4ec020,5,See attached: Changed mind.,Changed mind,restock,
f60ad4b3-12dd-4a60-ade1-748ed9e91d22,39,May require restock. Fabric completely deteriorated.,Fabric completely deteriorated,restock,
5b839974-0629-46b3-88d8-f7e5138045d0,81,Flagged: Occasion cancelled.,Occasion cancelled,restock,
391452a2-ec44-4715-b5d1-60e7948a063f,8,Potential refurbish situation. Occasion cancelled.,Occasion cancelled,refurbish,
9312bcc4-997b-4b8a-9d40-5672b467ba89,18,Possible restock case. different style preferred (customer unclear).,different style preferred (customer unclear),restock,
45af5f3b-778f-43fc-8673-cc8ecf58219b,43,Notes: Received as gift.,Received as gift,restock,
36ce5511-f92a-4be7-aef9-287868d66f44,52,Inspected: Obvious usage marks. Needs further review.,Obvious usage marks,recycle,
9f9bb734-194d-4288-b783-c3bd40950694,87,Further testing needed: Major malfunction.,Major malfunction,recycle,
4a8c71a9-2ced-4de4-8eb7-2fbd4a7838fb,53,May require refurbish. Small puncture.,Small puncture,refurbish,
60fb7e06-ca15-4abc-925c-91f282bd390d,86,Uncertain: Duplicate order.,Duplicate order,restock,
c6f5edba-4793-4c37-9599-f43e13fc8e2f,89,Customer reported: Obvious repair needed.,Obvious repair needed,refurbish,
390634b7-0442-4066-8dc0-ff1eb073f5dd,96,Notes: Minor alignment issue.,Minor alignment issue,refurbish,
61e4ed15-8ff9-4764-864a-f5e4b8da7a9a,69,Flagged: Significant fading.,Significant fading,refurbish,
58d286a3-c935-4af1-9b2e-a485fbbbd12b,89,Assessment: Family member disapproval.,Family member disapproval,restock,
be2302b4-9bd6-4f37-ba09-696739db4768,29,Flagged: Small fabric pull.,Small fabric pull,refurbish,
aa0c4f7e-5994-46ba-b289-ee70d8dd2b3e,7,Returned due to: Cosmetic imperfection.,Cosmetic imperfection,refurbish,
8925d01f-92e2-4279-9e9e-76c1b062c930,82,Initial check: Small chip.,Small chip,refurbish,
f3490150-20cb-4e0c-8c5f-b4c9a0680ce2,78,Visual inspection: Beyond repair.,Beyond repair,recycle,
fba75bc6-8fee-4b17-9604-5d90b5e61a31,28,See attached: Packaging slightly damaged.,Packaging slightly damaged,refurbish,
c0c1f678-87e3-44cf-a885-620acae58d73,32,See attached: Ordered wrong quantity.,Ordered wrong quantity,restock,
f1847ca4-0165-4a0f-9dd1-463ec3b17a1c,19,Further testing needed: Fire damage.,Fire damage,recycle,
be6b225b-60a1-44bc-a8e8-2f1cb52c943b,67,Customer reported: Size chart was incorrect.,Size chart was incorrect,recycle,
2588bf9f-b1c9-4ec9-931c-09ba9a980f9f,78,Customer reported: Obvious usage marks.,Obvious usage marks,refurbish,
c3cdc561-aadc-4186-8063-ceab90b30071,92,Customer notes: Color not as shown.,Color not as shown,restock,
2a768034-9687-43b7-bed7-e55e566e96fa,84,Reported: Electrical short circuit.,Electrical short circuit,recycle,
fb5a5f00-f705-4477-a35a-cc76f10571a9,2,Notes: Color not as shown.,Color not as shown,restock,
1b6c8302-3cc5-4955-8ebf-7d8616782e21,14,Notes: slight wear on edges.,slight wear on edges,refurbish,
