order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order
168,1496,33,6,18,2
169,3305,46,3,9,2
170,3764,18,3,8,2
171,5233,40,6,8,14
172,1854,14,0,20,14
173,6586,20,3,9,30
174,1292,13,1,21,7
175,3582,16,4,6,1
176,7555,41,3,10,14
177,7281,31,0,13,7
178,1637,39,5,11,14
179,3697,35,4,8,30
180,699,20,3,10,30
181,4738,1,1,19,14
182,855,40,1,16,30
183,8165,46,4,10,2
184,5856,13,0,7,1
185,7393,7,1,21,3
186,6529,45,2,13,14
187,5250,22,2,22,3
188,5173,7,3,7,3
189,1708,20,1,14,2
190,5792,37,2,17,30
191,9926,36,3,18,7
192,5536,4,3,20,1
193,4932,6,3,6,7
194,3511,46,0,8,1
195,203,3,3,16,14
196,4219,3,0,18,2
197,8959,3,2,16,14
198,4390,36,3,19,30
199,2328,9,2,16,14
200,8005,16,1,14,3
201,2932,16,0,12,2
202,7778,12,6,9,7
203,198,38,6,8,1
204,7126,20,2,17,14
205,1931,31,3,15,1
206,6288,30,2,12,1
207,8801,21,3,10,2
208,9340,3,4,21,1
209,4283,21,5,18,1
210,2512,28,0,12,3
211,9987,28,1,15,30
212,660,5,2,10,3
213,2812,7,6,12,14
214,7099,5,5,9,7
215,6547,9,2,19,1
216,9562,47,4,17,7
217,1987,21,3,6,3
218,8339,20,1,20,1
219,2912,38,3,6,30
220,1735,40,3,19,7
221,1844,37,2,16,1
222,8681,17,2,11,30
223,2977,42,2,21,30
224,1960,28,5,18,2
225,5760,31,0,8,2
226,6695,33,0,14,2
227,2386,32,2,17,30
228,4737,32,3,22,3
229,1803,48,1,15,14
230,8156,23,1,10,7
231,8121,21,3,8,1
232,6617,25,5,9,2
233,5535,33,6,10,1
234,4062,3,4,19,7
235,263,6,3,21,2
236,6288,49,1,12,2
237,8816,28,4,10,3
238,9209,2,5,22,7
239,2050,32,5,16,1
240,5424,26,4,22,1
241,4549,5,1,7,2
242,3109,11,4,22,30
243,7159,10,5,13,30
244,7401,15,0,15,1
245,3171,18,2,18,30
246,9875,49,5,11,7
247,2256,14,5,20,3
248,1155,28,4,9,14
249,4500,30,4,7,2
250,6296,13,0,6,3
251,6198,20,0,10,3
252,9889,2,3,15,7
253,1649,25,6,21,30
254,5540,44,1,19,2
255,9638,43,3,8,3
256,4200,12,5,16,30
257,8446,25,1,12,30
258,2558,4,6,13,7
259,5593,42,0,16,3
260,99,12,2,7,7
261,2201,7,1,10,1
262,2962,38,1,12,2
263,4974,40,0,8,3
264,4434,32,4,19,2
265,2870,43,3,14,7
266,957,6,2,9,30
267,8353,27,5,11,14
268,5700,35,6,10,2
269,6945,21,1,8,2
270,4494,20,4,9,7
271,9493,19,0,9,14
272,4912,33,1,11,7
273,3988,4,4,17,2
274,9720,19,5,6,30
275,6016,49,3,9,30
276,1219,28,0,9,1
277,4497,22,4,19,3
278,4736,24,6,9,30
279,4556,46,4,8,14
280,9147,30,1,15,7
281,8051,29,5,17,30
282,3447,10,5,18,30
283,1046,32,6,10,7
284,6894,9,3,6,3
285,1694,25,5,7,2
286,3437,16,6,8,3
287,8755,15,6,7,2
288,5896,48,0,19,2
289,3355,18,0,22,30
290,226,23,3,22,1
291,4894,42,2,7,1
292,7023,3,1,19,7
293,9152,7,6,10,3
294,5601,39,4,11,7
295,7997,11,6,8,30
296,9008,24,1,13,3
297,7684,35,6,21,7
298,4643,50,3,7,14
299,7680,25,4,14,14
300,8209,28,2,19,1
301,7340,12,5,17,14
302,9436,23,3,12,7
303,2206,17,1,9,3
304,1070,41,4,6,2
305,3445,37,0,6,7
306,1061,18,4,16,2
307,2328,9,4,8,30
308,3421,45,3,19,2
309,302,35,2,14,30
310,607,36,4,16,3
311,3171,18,5,20,2
312,700,20,4,20,7
313,5089,21,6,21,14
314,9332,47,6,16,2
315,191,20,2,19,14
316,981,6,2,15,14
317,2976,9,5,7,1
318,6103,43,4,17,3
319,1185,29,0,17,30
320,3328,29,0,18,7
321,3395,13,0,14,3
322,8320,36,3,13,2
323,1817,27,3,22,7
324,5855,47,0,18,7
325,6710,49,0,14,3
326,570,44,0,6,14
327,5443,6,2,6,2
328,1896,39,6,15,3
329,2734,32,1,7,2
330,3864,49,3,9,7
331,7456,43,6,20,3
332,4015,44,3,20,30
333,1687,28,3,12,3
334,3010,45,1,9,1
335,7807,1,4,19,1
336,155,50,3,11,2
337,1410,43,4,13,3
338,785,31,2,19,3
339,8097,30,6,15,14
340,7561,18,0,15,1
341,7344,29,0,7,14
342,7207,42,2,18,1
343,5597,38,0,21,30
344,5802,23,2,15,7
345,2807,22,0,21,30
346,538,2,2,9,3
347,5987,5,2,22,7
348,1842,42,0,10,2
349,8717,15,4,8,1
350,6972,32,3,17,2
351,5626,46,3,9,30
352,2951,6,6,15,30
353,7993,14,1,22,7
354,4781,24,5,11,2
355,2369,21,5,8,7
356,6656,14,1,10,30
357,8174,12,0,9,14
358,4496,4,3,11,3
359,9164,44,5,22,14
360,6003,21,1,7,7
361,6615,17,3,15,30
362,9359,29,6,20,30
363,5920,16,2,11,7
364,854,18,4,21,2
365,4147,38,2,22,2
366,3770,41,1,9,1
367,575,44,1,7,3
368,1149,11,0,12,3
369,6294,32,4,14,14
370,6458,28,5,22,2
371,7510,16,6,20,3
372,9908,34,6,22,14
373,4778,50,4,18,2
374,3855,30,3,10,7
375,2492,38,0,14,2
376,3125,22,4,19,14
377,5692,5,1,14,30
378,3052,9,2,16,30
379,5,13,2,9,30
380,5223,39,6,17,7
381,5316,23,5,8,14
382,4870,27,4,12,1
383,877,32,2,11,30
384,9184,31,1,20,7
385,7028,33,6,6,3
386,4143,42,3,9,1
387,6967,26,1,7,3
388,7080,18,6,11,14
389,7988,12,4,7,30
390,6800,3,6,20,2
391,4466,5,5,10,2
392,636,14,6,19,2
393,1694,47,1,18,7
394,9875,12,1,18,3
395,4753,4,2,13,7
396,8312,16,5,20,2
397,831,11,3,18,30
398,5178,36,5,11,30
399,9562,38,0,9,3
400,8933,48,4,12,2
401,8309,2,4,16,14
402,5950,13,1,9,3
403,2839,8,2,19,3
404,1151,44,2,15,14
405,7561,21,4,13,3
406,1932,26,5,17,30
407,9205,38,0,14,14
408,1665,35,0,11,3
409,1082,15,3,11,2
410,513,40,1,18,7
411,7806,30,4,17,1
412,5238,2,5,13,2
413,560,16,0,13,1
414,3673,13,6,8,30
415,7405,1,0,15,30
416,3344,43,2,9,1
417,4071,28,3,7,3
418,9663,1,4,14,3
419,581,40,3,16,2
420,7005,34,0,21,14
421,8131,13,3,19,7
422,3148,2,6,18,7
423,4250,4,0,17,1
424,1680,25,5,6,1
425,3507,34,2,8,30
426,7254,13,5,22,30
427,2745,36,1,9,3
428,9436,32,6,14,2
429,5189,21,4,12,14
430,2142,26,1,13,2
431,6618,15,3,17,14
432,2480,29,0,22,1
433,6485,26,1,17,2
434,9828,21,2,14,1
435,7422,12,6,10,2
436,9950,12,5,18,2
437,4453,5,3,20,14
438,5882,42,3,10,2
439,6666,26,6,21,1
440,2850,32,1,14,14
441,7391,2,3,6,1
442,6906,8,4,12,7
443,2490,27,1,15,7
444,9824,37,1,9,3
445,9208,8,5,17,2
446,9541,24,2,21,30
447,4612,13,6,8,1
448,2840,29,3,8,7
449,8528,13,2,18,14
450,5879,23,3,12,30
451,9088,47,1,18,2
452,6304,15,6,13,14
453,852,24,3,14,30
454,1688,43,6,7,3
455,6834,23,6,13,2
456,2428,10,2,17,14
457,9761,38,6,20,30
458,4001,5,1,7,3
459,5053,5,5,19,7
460,2739,31,3,10,14
461,5733,40,2,7,3
462,5388,1,6,7,30
463,8003,2,5,14,3
464,5537,49,3,21,7
465,3914,29,5,6,3
466,1067,7,2,21,1
467,7724,29,4,21,30
468,4381,9,2,14,30
469,4108,36,0,9,14
470,5727,7,6,16,14
471,3374,28,3,12,3
472,8946,10,0,7,1
473,2083,16,4,22,14
474,8968,10,2,14,14
475,6749,39,5,20,14
476,9818,26,1,15,7
477,418,34,1,8,14
478,8307,34,5,17,3
479,8809,40,2,21,14
480,3975,14,4,11,3
481,3268,18,5,20,14
482,826,1,6,14,2
483,7669,17,2,8,30
484,5746,49,5,11,2
485,9709,22,1,12,14
486,413,37,1,20,2
487,7544,16,1,6,2
488,7588,7,6,19,3
489,729,15,2,9,30
490,7165,21,4,16,2
491,8868,2,4,21,3
492,5989,48,6,20,3
493,2505,25,4,10,3
494,2968,9,6,10,30
495,2787,20,5,7,1
496,1123,50,6,15,7
497,4080,10,1,17,3
498,1572,21,3,17,7
499,5074,4,5,14,14
500,5105,30,2,10,1
501,2144,34,6,12,1
502,9880,30,1,6,3
503,6807,14,4,13,1
504,7358,22,2,8,3
505,3441,1,5,14,3
506,3767,8,4,14,3
507,5645,11,0,13,2
508,2915,1,1,17,30
509,4969,5,6,11,14
510,5918,45,4,8,30
511,8788,49,0,11,2
512,729,10,4,9,30
513,1366,39,1,12,30
514,4493,13,3,7,30
515,699,21,4,21,14
516,7187,36,4,7,1
517,396,45,5,16,30
518,7401,33,0,19,2
519,8083,43,1,20,14
520,4172,28,4,8,14
521,4361,9,5,17,2
522,2503,45,5,13,2
523,718,11,2,22,3
524,2783,40,6,22,30
525,4947,29,5,10,7
526,5487,7,1,15,7
527,8336,27,0,22,30
528,4981,22,0,10,3
529,7267,31,6,12,30
530,4492,30,0,8,1
531,7193,28,1,19,2
532,5589,20,5,13,14
533,7652,15,1,15,1
534,3637,15,4,11,7
535,1168,12,0,7,30
536,1063,17,5,18,30
537,2157,23,0,16,14
538,7861,6,5,22,7
539,5162,45,5,7,2
540,5306,16,1,21,2
541,6542,27,1,7,14
542,4730,23,2,21,7
543,9349,1,0,7,7
544,7331,45,5,8,14
545,5335,7,1,8,30
546,8925,45,1,22,14
547,4331,39,4,14,14
548,8011,40,0,8,2
549,6802,50,6,18,7
550,4847,49,2,7,2
551,6732,48,1,17,3
552,7242,49,6,20,1
553,954,40,4,17,3
554,2540,39,5,14,1
555,7057,18,4,17,7
556,1543,36,6,14,2
557,5294,22,3,19,2
558,1192,2,5,11,30
559,6314,48,5,21,30
560,6939,26,5,7,3
561,2682,50,0,17,1
562,9410,32,4,20,7
563,1541,23,2,16,14
564,6173,40,0,21,3
565,5542,46,2,15,30
566,9581,18,5,20,2
567,1366,19,4,12,7
568,8692,24,0,18,30
569,9873,4,4,11,1
570,8703,46,4,12,2
571,7495,2,4,9,14
572,4313,30,5,17,14
573,1325,49,1,22,3
574,9348,38,5,9,3
575,3142,31,1,6,3
576,7420,40,6,11,3
577,3487,16,2,10,14
578,1811,33,6,9,7
579,6589,50,6,13,30
580,2924,3,6,12,7
581,5302,18,1,11,14
582,4187,10,2,17,1
583,8906,2,1,10,3
584,5978,30,5,6,3
585,4269,30,4,20,2
586,4749,25,6,19,30
587,4850,43,6,17,14
588,9436,24,1,13,2
589,3710,35,3,17,2
590,9274,10,5,21,3
591,6620,48,4,16,2
592,8648,30,3,10,30
593,9087,26,4,19,7
594,9577,35,5,17,7
595,3073,24,5,7,7
596,6531,20,1,7,7
597,505,39,0,17,7
598,1215,49,2,10,7
599,1532,40,4,17,2
600,7577,35,0,6,30
601,824,39,0,15,7
602,929,10,1,22,3
603,5030,27,4,8,1
604,134,15,6,18,7
605,2106,15,0,12,14
606,3628,37,2,13,30
607,6317,35,3,16,2
608,1853,3,6,22,7
609,4911,29,1,15,1
610,4176,4,5,20,1
611,5349,47,1,11,7
612,9443,16,6,14,3
613,6191,5,1,7,3
614,1257,21,2,7,7
615,3377,40,5,17,14
616,5646,42,1,22,2
617,3487,21,2,17,7
618,3585,2,5,19,3
619,9589,14,0,8,3
620,8054,5,4,11,14
621,3331,7,0,9,30
622,2704,11,4,18,3
623,8663,35,6,20,2
624,8121,30,1,15,14
625,7115,44,0,12,1
626,1354,46,2,16,14
627,5064,1,6,18,30
628,8550,16,1,14,3
629,7576,47,0,21,1
630,668,1,0,12,30
631,4469,22,2,11,3
632,9338,13,2,21,7
633,6820,27,0,10,3
634,3720,15,5,10,14
635,2746,17,2,18,2
636,7484,9,6,20,30
637,540,5,3,22,3
638,4965,23,5,16,14
639,4836,44,5,19,30
640,3776,49,6,12,7
641,6043,43,3,14,30
642,7103,11,2,8,7
643,7313,24,0,14,2
644,5321,8,2,8,2
645,6133,47,6,19,2
646,7892,34,2,10,3
647,2780,42,4,21,7
648,925,31,3,11,14
649,1582,22,1,18,2
650,7715,14,1,12,1
651,3325,5,1,14,14
652,5714,17,6,13,1
653,7027,18,2,17,30
654,256,19,1,14,7
655,4805,7,4,6,2
656,1839,26,2,9,1
657,10,25,0,14,14
658,2872,18,0,14,7
659,8990,44,2,21,7
660,7410,15,5,6,7
661,7419,29,3,22,14
662,5125,46,3,16,7
663,1016,42,0,19,7
664,2194,49,1,19,1
665,8416,1,6,8,7
666,7450,4,4,22,2
667,4159,9,2,9,1
668,3926,36,6,6,2
669,6971,32,4,15,30
670,6939,24,4,22,7
671,4785,37,5,20,1
672,4001,18,4,12,2
673,1634,15,2,16,14
674,7267,20,1,9,14
675,8703,40,6,10,1
676,385,2,5,22,2
677,405,25,2,12,30
678,8176,13,5,15,1
679,2001,27,0,19,1
680,9861,13,6,10,7
681,5990,28,6,16,1
682,1461,46,1,10,7
683,7191,15,0,15,30
684,7141,29,4,21,7
685,3637,21,1,16,3
686,4810,44,4,19,1
687,4179,31,0,12,30
688,7246,23,5,15,14
689,6601,37,2,12,3
690,5998,3,5,10,14
691,2049,50,5,19,3
692,4781,35,1,13,7
693,717,14,4,14,14
694,7940,2,6,10,2
695,5566,50,3,6,3
696,4545,13,4,12,7
697,4977,2,0,7,7
698,3420,12,0,8,1
699,7240,27,6,12,30
700,9767,34,5,19,7
701,250,40,5,18,2
702,8866,5,2,12,1
703,771,25,1,19,14
704,4364,11,6,14,7
705,1078,13,3,20,3
706,8428,28,0,14,30
707,8581,21,1,7,14
708,7902,49,3,10,1
709,4859,48,6,9,3
710,6545,26,6,11,30
711,4720,27,6,19,14
712,2815,26,2,14,30
713,3375,15,1,9,30
714,1253,50,4,8,30
715,6997,6,5,18,1
716,4674,4,5,6,7
717,4531,4,6,9,1
718,6882,30,3,8,3
719,6950,13,4,17,3
720,9522,9,6,12,1
721,6242,42,5,15,3
722,8018,14,4,18,3
723,6942,28,5,10,2
724,9551,40,3,22,3
725,7003,3,4,8,7
726,1332,41,3,22,1
727,4262,29,4,22,7
728,7649,33,2,14,2
729,9551,15,2,13,1
730,5116,47,6,19,1
731,4638,39,1,18,30
732,4855,15,4,13,14
733,3178,7,2,14,2
734,7731,45,2,17,7
735,2181,12,6,8,3
736,4893,50,2,7,7
737,7044,39,0,21,1
738,138,7,4,21,7
739,6328,47,1,9,14
740,3473,41,2,15,14
741,5450,6,3,9,1
742,2833,26,0,18,3
743,3580,9,4,13,30
744,5972,24,5,22,3
745,4165,30,6,22,2
746,7942,16,1,10,3
747,5570,48,2,7,1
748,4301,27,3,18,1
749,6270,33,0,16,14
750,3819,23,3,13,7
751,1907,45,3,7,14
752,6255,19,0,19,14
753,761,36,3,19,2
754,7831,19,2,18,7
755,7351,22,6,16,7
756,6239,42,0,9,1
757,6091,45,4,14,7
758,6032,33,0,9,7
759,7688,45,5,21,3
760,9092,10,1,11,7
761,9912,47,5,19,3
762,8473,32,5,21,14
763,1888,15,6,21,7
764,3267,39,2,6,7
765,667,46,4,19,1
766,4189,8,6,20,2
767,672,25,6,6,1
768,6778,18,6,13,2
769,7571,15,5,21,1
770,7957,26,2,8,14
771,5125,41,2,17,30
772,5586,44,0,18,14
773,4778,21,5,21,7
774,3901,22,4,15,3
775,6678,46,0,22,1
776,6982,34,1,21,14
777,6377,37,1,16,2
778,524,37,1,12,2
779,2394,14,0,17,2
780,2594,4,0,21,7
781,9946,24,1,16,14
782,7241,2,0,6,3
783,6938,1,3,6,3
784,6191,2,3,10,14
785,5241,13,3,22,30
786,6494,27,2,7,14
787,2879,17,4,21,30
788,4144,45,5,18,7
789,3645,17,4,22,1
790,4433,5,4,14,2
791,1277,24,1,9,7
792,5812,8,6,19,14
793,303,44,3,21,14
794,639,9,5,18,7
795,56,18,3,20,3
796,8718,16,0,19,1
797,8151,32,2,11,7
798,2126,40,2,11,14
799,365,39,3,18,7
800,6810,41,0,22,14
801,4622,44,3,18,1
802,5127,46,1,20,3
803,5123,32,6,19,14
804,1647,42,1,16,2
805,919,48,4,6,14
806,2798,2,5,22,30
807,6507,38,5,17,2
808,5871,43,5,7,1
809,1532,4,6,7,14
810,8173,5,4,12,14
811,3346,37,3,20,7
812,7674,49,6,18,3
813,6950,37,6,17,3
814,6883,26,4,16,2
815,1907,43,6,16,14
816,3087,9,3,9,2
817,8153,15,2,6,2
818,5751,24,1,18,3
819,8906,24,6,17,2
820,1063,35,0,8,7
821,1977,48,0,18,30
822,1297,41,2,19,30
823,6230,25,6,16,30
824,7642,26,5,15,14
825,126,23,6,10,1
826,4633,6,3,13,7
827,6289,41,5,21,30
828,3597,27,1,10,2
829,6169,19,3,13,2
830,9796,31,3,8,30
831,7562,38,2,10,30
832,8259,43,2,18,7
833,233,32,4,18,2
834,9362,2,2,10,14
835,6372,18,4,6,30
836,4207,28,5,21,1
837,9686,7,5,15,2
838,7944,23,6,11,14
839,6892,36,0,21,3
840,6739,24,4,16,1
841,2473,28,4,7,3
842,2740,25,5,9,2
843,5402,39,0,18,3
844,1762,49,1,10,3
845,877,4,3,12,30
846,3813,45,5,18,30
847,9505,19,3,7,14
848,1461,4,2,13,30
849,1734,13,2,13,7
850,1606,1,1,22,14
851,5623,34,6,8,14
852,6768,7,2,14,3
853,6987,25,3,11,2
854,3518,23,5,6,7
855,3736,30,5,13,3
856,9353,49,4,17,1
857,8435,7,4,7,2
858,2591,45,6,14,7
859,1064,17,2,9,3
860,4325,33,3,10,1
861,9112,2,5,13,3
862,5343,38,0,14,2
863,6,44,0,8,30
864,7490,13,5,14,2
865,8660,32,5,18,2
866,8196,22,5,22,30
867,5967,9,4,13,30
868,8838,17,3,13,14
869,118,18,5,20,30
870,2552,40,6,15,30
871,5561,40,4,9,2
872,4290,27,3,22,7
873,847,11,5,10,3
874,6317,28,6,17,2
875,6470,8,0,15,3
876,9334,50,5,17,14
877,8916,18,2,13,14
878,225,13,1,6,7
879,4209,33,2,19,2
880,6284,15,3,6,30
881,2049,22,4,6,7
882,6234,38,4,7,30
883,9766,30,0,13,3
884,1829,6,5,15,3
885,1918,45,0,10,30
886,4235,34,2,6,30
887,6989,19,5,15,14
888,2027,49,6,12,30
889,3745,33,2,15,14
890,9094,14,6,11,14
891,10,48,1,9,3
892,261,47,3,13,30
893,6039,41,2,15,30
894,9866,19,2,14,7
895,2220,40,0,11,7
896,7042,15,5,12,3
897,2061,10,3,9,2
898,5288,2,0,10,7
899,1620,50,6,10,7
900,8513,2,6,10,2
901,1343,21,1,11,14
902,2833,12,2,11,3
903,2825,10,5,17,3
904,1995,12,2,6,14
905,3491,39,2,19,1
906,9311,2,4,9,7
907,7985,1,6,6,7
908,1605,2,3,17,7
909,236,23,0,11,7
910,1909,28,0,19,3
911,8568,17,6,22,1
912,3531,40,0,8,2
913,5257,21,1,22,3
914,2636,44,4,12,3
915,8163,34,1,8,3
916,9763,9,3,21,14
917,2561,17,0,21,2
918,5416,49,0,15,30
919,3392,42,0,17,14
920,5952,45,2,21,1
921,5469,32,6,14,14
922,8008,5,6,12,7
923,9065,14,2,10,2
924,9445,46,5,7,30
925,6414,47,0,13,3
926,6942,25,6,20,2
927,9507,22,0,9,2
928,4821,5,2,19,30
929,2899,38,1,9,2
930,7547,9,4,10,14
931,78,31,1,12,1
932,7578,41,6,13,2
933,4228,21,4,6,2
934,601,36,6,13,3
935,1066,1,2,6,3
936,2137,22,5,17,2
937,9511,23,5,16,7
938,6944,23,0,20,14
939,7805,15,6,10,7
940,6566,46,0,17,3
941,5985,1,0,9,2
942,5143,6,6,11,3
943,4671,40,1,22,2
944,2191,35,0,6,14
945,9185,17,4,11,1
946,2713,23,0,12,7
947,2193,20,2,20,7
948,1249,28,0,12,7
949,4034,37,1,13,14
950,1998,18,1,22,3
951,3688,7,6,7,1
952,4019,49,2,19,14
953,1971,47,6,20,3
954,8390,20,3,22,14
955,5766,24,6,15,30
956,1203,16,1,17,7
957,8136,13,3,11,3
958,5568,28,2,21,14
959,7668,7,0,9,7
960,5743,15,5,15,14
961,5789,23,3,18,30
962,5409,23,2,10,14
963,8670,31,3,22,2
964,9447,5,3,8,1
965,923,27,6,8,2
966,420,44,0,8,3
967,2205,10,5,8,14
968,1121,42,1,19,7
969,951,7,3,13,7
970,2337,32,4,6,30
971,5374,23,0,10,30
972,2244,47,6,9,7
973,2646,9,4,12,2
974,4613,29,0,13,3
975,1866,27,0,13,1
976,6029,38,5,13,14
977,7327,21,1,6,3
978,6372,43,4,16,3
979,6360,6,3,17,1
980,7864,26,0,13,2
981,3229,20,5,7,30
982,3720,15,4,17,3
983,2372,45,4,20,2
984,2892,38,1,9,3
985,3757,20,4,8,2
986,4226,15,3,14,14
987,95,29,4,13,7
988,2675,6,1,12,1
989,6899,16,6,19,3
990,794,1,0,12,2
991,2117,6,4,13,30
992,5780,16,4,10,30
993,6167,33,2,13,3
994,815,7,3,14,3
995,346,10,5,19,2
996,8555,8,3,11,2
997,2444,21,5,20,30
998,7784,26,5,20,30
999,985,37,3,21,30
1000,7791,18,5,15,14
1001,9832,4,4,17,14
1002,828,20,3,18,30
1003,3532,48,3,15,14
1004,7148,42,6,19,1
1005,4452,48,2,18,2
1006,3877,40,1,21,14
1007,5960,19,1,10,30
1008,127,33,0,19,30
1009,3178,23,5,12,7
1010,8796,9,5,18,2
1011,6025,38,5,9,3
1012,5110,45,5,14,3
1013,4147,45,2,17,1
1014,7197,18,5,16,7
1015,3369,46,5,6,7
1016,3798,2,4,6,3
1017,1793,48,5,10,3
1018,5733,17,5,12,7
1019,3477,16,0,20,3
1020,3418,46,3,11,14
1021,1646,45,0,9,3
1022,9398,48,1,14,1
1023,3031,24,0,10,30
1024,2873,31,0,12,3
1025,3073,1,5,14,14
1026,1855,28,2,22,1
1027,4022,49,3,9,14
1028,4663,33,4,10,30
1029,6515,42,5,14,2
1030,5032,37,4,10,30
1031,2709,39,2,22,1
1032,7113,4,6,21,30
1033,9525,1,5,22,3
1034,8394,33,2,20,3
1035,3508,10,5,6,7
1036,6457,3,5,18,14
1037,4213,37,4,8,1
1038,7971,45,5,10,1
1039,8767,21,0,21,7
1040,537,9,3,7,2
1041,1626,40,4,6,7
1042,7974,43,0,13,14
1043,8578,24,0,10,14
1044,8071,46,1,14,1
1045,8667,8,2,16,30
1046,8610,24,5,20,2
1047,6491,24,6,18,30
1048,3601,10,5,16,1
1049,6784,35,4,12,3
1050,9147,4,4,6,14
1051,4972,44,5,19,2
1052,1206,9,3,15,7
1053,1991,11,6,14,2
1054,5300,43,5,21,3
1055,3573,48,5,11,7
1056,5976,13,6,12,30
1057,6321,27,4,9,30
1058,4381,30,0,9,1
1059,4758,46,0,12,3
1060,2714,39,3,10,1
1061,5589,12,6,10,1
1062,967,19,0,14,14
1063,4945,40,0,19,30
1064,3433,4,4,16,7
1065,689,49,6,10,14
1066,4244,34,2,6,3
1067,3702,23,4,13,3
1068,8534,45,1,8,7
1069,5183,26,3,18,3
1070,9917,7,5,20,7
1071,6705,18,0,22,1
1072,4423,42,6,7,14
1073,9985,4,4,19,3
